title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Notice and Call for Applications for the Environmental and Clean Energy Technologies Trade Mission to Croatia, Italy, and Greece, March 30 to April 4, 2009",Notice,Commerce Department; International Trade Administration,"", E9-3953,https://www.federalregister.gov/documents/2009/02/25/E9-3953/notice-and-call-for-applications-for-the-environmental-and-clean-energy-technologies-trade-mission,https://www.gpo.gov/fdsys/pkg/FR-2009-02-25/pdf/E9-3953.pdf,02/25/2009
"Notice and call for applications for the Environmental and Clean Energy Technologies Trade Mission to Croatia, Italy, and Greece, March 30 to April 5, 2009",Notice,Commerce Department; International Trade Administration,"", E8-27348,https://www.federalregister.gov/documents/2008/11/18/E8-27348/notice-and-call-for-applications-for-the-environmental-and-clean-energy-technologies-trade-mission,https://www.gpo.gov/fdsys/pkg/FR-2008-11-18/pdf/E8-27348.pdf,11/18/2008
Publication of Final Guidance on the Congestion Mitigation and Air Quality Improvement (CMAQ) Program,Notice,Transportation Department; Federal Highway Administration,"The purpose of this notice is to announce the publication of CMAQ final guidance. Sections 1101, 1103 and 1808 of the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA-LU) (Pub. L. 109-59, Aug. 10, 2005) \1\ amend the Congestion Mitigation and Air Quality Improvement (CMAQ) Program, and authorize $8.6 billion to support the CMAQ program in 2005-2009. The interim guidance went into effect October 31, 2006; however, we solicited comments on the interim guidance on December 19, 2006, at 71 FR 76038. This notice describes and discusses comments we received and announces the publication of the final CMAQ guidance. The notice also describes the effect of a provision of the Energy Independence and Security Act of 2007, Pub. L. 110-140 that affects CMAQ funding. This provision became effective on December 20, 2007, beyond the time for submitting comments on the interim guidance. ---------------------------------------------------------------------------", E8-24704,https://www.federalregister.gov/documents/2008/10/20/E8-24704/publication-of-final-guidance-on-the-congestion-mitigation-and-air-quality-improvement-cmaq-program,https://www.gpo.gov/fdsys/pkg/FR-2008-10-20/pdf/E8-24704.pdf,10/20/2008
Citric Acid and Certain Citrate Salts From the People's Republic of China: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Countervailing Duty Determination With Final Antidumping Duty Determination,Notice,Commerce Department; International Trade Administration,"The Department of Commerce preliminarily determines that countervailable subsidies are being provided to producers and exporters of citric acid and certain citrate salts from the People's Republic of China. For information on the estimated subsidy rates, see the ``Suspension of Liquidation'' section of this notice.", E8-21949,https://www.federalregister.gov/documents/2008/09/19/E8-21949/citric-acid-and-certain-citrate-salts-from-the-peoples-republic-of-china-preliminary-affirmative,https://www.gpo.gov/fdsys/pkg/FR-2008-09-19/pdf/E8-21949.pdf,09/19/2008
Solicitation of Proposals and Applications for Economic Development Assistance Programs,Notice,Commerce Department; Economic Development Administration,"Pursuant to the Public Works and Economic Development Act of 1965, as amended (42 U.S.C. 3121, et seq.) (PWEDA), EDA announces general policies and application procedures for grant-based investments under the Public Works, Planning, Local Technical Assistance, and Economic Adjustment Assistance Programs to promote comprehensive, entrepreneurial and innovation-based economic development efforts to enhance the competitiveness of regions, resulting in increased private investment and higher-skill, higher-wage jobs in regions experiencing substantial and persistent economic distress.", E8-3022,https://www.federalregister.gov/documents/2008/02/19/E8-3022/solicitation-of-proposals-and-applications-for-economic-development-assistance-programs,https://www.gpo.gov/fdsys/pkg/FR-2008-02-19/pdf/E8-3022.pdf,02/19/2008
"Environmental Impact Statement for the Expanded Moynihan/Penn Station Redevelopment Project, New York, NY",Notice,Transportation Department; Federal Railroad Administration,"FRA is issuing this notice to advise the public that it will jointly prepare an environmental impact statement (EIS) with the New York State Urban Development Corporation d/b/a Empire State Development Corporation (ESDC) to assess the proposed Expanded Moynihan/Penn Station Redevelopment Project (the project) in New York City. The project is a comprehensive public/private development initiative to adaptively reuse the historic James A. Farley Building and the Western Annex (collectively referred to as the Farley Complex) as a new train station (Moynihan West) and relocated Madison Square Garden, to reconstruct critical station and circulation elements at the existing Pennsylvania Station (Penn Station) referred to herein as Moynihan East, and to implement transit-oriented private development. FRA is issuing this notice to solicit public and agency input into the development of the scope of the EIS and to advise the public that outreach activities conducted by ESDC and its representatives will be considered in the preparation of the EIS. The EIS will be prepared in accordance the National Environmental Policy Act of 1969 (NEPA, 42 U.S.C. 4321 et seq.) and the applicable regulations implementing NEPA as set forth in 40 CFR 1500-1508, FRA's Procedures for Considering Environmental Impacts found at 64 FR 28545 (May 26, 1999), and the New York State Environmental Quality Review Act (SEQRA) and its implementing regulations found at 6 New York Code of Rules and Regulations Part 617. The EIS will also address as necessary Section 106 of the National Historic Preservation Act, Section 4(f) of the U.S. Department of Transportation Act of 1966 (49 U.S.C. 303) (DOT Act) and other applicable federal and state laws and regulations. The EIS will evaluate a ``Preferred Alternative,'' a ``No Action Alternative'' and various build alternatives that modify elements of the Preferred Alternative. There are two options under consideration for the Preferred Alternative. Under either of these options, the development of the Project would occur at the Farley Complex (Block 755) owned by ESDC and bounded by Ninth Avenue to the west, Eighth Avenue to the east, West 31st Street to the south and West 33rd Street to the north; the Penn Station Block (Block 781) bounded by Eighth Avenue to the west, Seventh Avenue to the east, West 31st Street to the south and West 33rd Street to the north; the Railroad Service Building (Block 780, Lot 60) located mid-block on West 31st Street across the street from Penn Station; the eastern and western portions of the One Penn Plaza Block (Block 783) bounded by Eighth and Seventh Avenues and West 33rd to West 34th Streets; and the United States Postal Service (USPS) Morgan Facility and Annex located on two full blocks (Blocks 726 and 727) bounded by Tenth Avenue to the west, Ninth Avenue to the east and between West 28th and West 30th Streets ESDC may also acquire properties on one or more blocks immediately adjacent to the Penn Station Block to facilitate the construction of a loading dock and other support facilities for Moynihan Station, and to otherwise further the goals of the project. In addition, under one of the two options being considered, the City of New York would establish a new zoning subdistrict (the Subdistrict Option). This Subdistrict Option would allow development rights from the Penn Station Block to be transferred under certain specified conditions to receiving sites located within the subdistrict and at prescribed maximum floor areas. It is anticipated that the boundaries of the proposed subdistrict would include approximately 20 city blocks surrounding the Penn Station Block, extending as far south as West 28th Street, as far north as West 36th Street, as far east as within 200 feet west of Fifth Avenue, and as far west as 200 feet west of Ninth Avenue. In a related zoning action to be examined in the EIS, the City, in connection with the Subdistrict Option only, has proposed to change the underlying zoning classifications for a number of lots or blocks within the proposed subdistrict from manufacturing and commercial uses (M1-5, M1-6, C6-3X, C6-4X and C6-4M) to C6-4. This zoning change, if adopted by the City, would allow residential uses in certain areas where such uses are not currently permitted by zoning.", E7-22069,https://www.federalregister.gov/documents/2007/11/09/E7-22069/environmental-impact-statement-for-the-expanded-moynihanpenn-station-redevelopment-project-new-york,https://www.gpo.gov/fdsys/pkg/FR-2007-11-09/pdf/E7-22069.pdf,11/09/2007
Publication of Interim Guidance on the Congestion Mitigation and Air Quality Improvement (CMAQ) Program,Notice,Transportation Department; Federal Highway Administration,"The purpose of this notice is to: (1) Announce the publication of interim CMAQ guidance; and (2) solicit public comment on the contents of the interim guidance. Sections 1101, 1103 and 1808 of the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA-LU) (Pub. L. 109-59, Aug. 10, 2005) amended the Congestion Mitigation and Air Quality Improvement (CMAQ) Program, and authorizes $8.6 billion to support the CMAQ program in 2005-2009. The interim guidance went into effect October 31, 2006; however, we will review all comments submitted to the docket and will modify the guidance as necessary or appropriate.", 06-9679,https://www.federalregister.gov/documents/2006/12/19/06-9679/publication-of-interim-guidance-on-the-congestion-mitigation-and-air-quality-improvement-cmaq,https://www.gpo.gov/fdsys/pkg/FR-2006-12-19/pdf/06-9679.pdf,12/19/2006
Great Lakes Cooperative Institute,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"The Office of Oceanic and Atmospheric Research (OAR) invites applications for the establishment of a Great Lakes (GL) Cooperative Institute (CI). The Great Lakes are one of the Nation's most important aquatic resources from an economic, geographic, international, ecological, and societal perspective. U.S. support for Great Lakes activities is described in Executive Order 13340. Activities associated with the proposed Cooperative Institute will provide the necessary capabilities to complement NOAA's current and planned activities in the region in support of the 5-year Research Plan and the 20-year Research Vision. The CI will be regional in scope and will consist of a group of research institutions with expertise and capabilities in the NOAA priority areas. This institute will facilitate a long-term collaborative environment between NOAA and the recipients within which broad-based research, prototype development, and education and outreach capabilities that focus on the priorities in the Great Lakes region can be developed and sustained.", 06-6266,https://www.federalregister.gov/documents/2006/07/19/06-6266/great-lakes-cooperative-institute,https://www.gpo.gov/fdsys/pkg/FR-2006-07-19/pdf/06-6266.pdf,07/19/2006
"Environmental Impact Statement; Washington, DC",Notice,Transportation Department; Federal Highway Administration,"The U.S. Federal Highway Administration (FHWA) in coordination with the District of Columbia Department of Transportation (DDOT) in Washington, DC is issuing this notice to advise agencies and the public that a Draft Environmental Impact Statement (DEIS) will be prepared to asses the impacts of the proposed transportation improvements to the 11th Street Bridges.", 05-18047,https://www.federalregister.gov/documents/2005/09/13/05-18047/environmental-impact-statement-washington-dc,https://www.gpo.gov/fdsys/pkg/FR-2005-09-13/pdf/05-18047.pdf,09/13/2005
Environmental Impact Statement for the South Capitol Street Roadway Improvement and Bridge Replacement Project,Notice,Transportation Department; Federal Highway Administration,"The Federal Highway Administration (FHWA) in coordination with the District Department of Transportation (DDOT) in Washington, DC is issuing this notice to advise agencies and the public that a Draft Environmental Impact Statement (DEIS) to assess the impacts of potential effects of proposed transportation improvements in the South Capitol Street Corridor is being prepared.", 05-8330,https://www.federalregister.gov/documents/2005/04/26/05-8330/environmental-impact-statement-for-the-south-capitol-street-roadway-improvement-and-bridge,https://www.gpo.gov/fdsys/pkg/FR-2005-04-26/pdf/05-8330.pdf,04/26/2005
Ernest F. Hollings Undergraduate Scholarship Program,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"NOAA provides notice of the availability of Ernest F. Hollings scholarship awards for FY 2005. The Ernest F. Hollings scholarship program was established through the Consolidated Appropriations Act, 2005. The Ernest F. Hollings scholarship program will provide selected undergraduate applicants with opportunities to increase recognition of and disciplined study in oceanic and atmospheric studies. There is no guarantee that sufficient funds will be available to make awards for all qualified applicants.", 05-8129,https://www.federalregister.gov/documents/2005/04/22/05-8129/ernest-f-hollings-undergraduate-scholarship-program,https://www.gpo.gov/fdsys/pkg/FR-2005-04-22/pdf/05-8129.pdf,04/22/2005
Environmental Literacy Grants,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"This notice announces that OESD is soliciting 1- to 3-year proposals for environmental literacy projects. Funded projects will further NOAA's education goals articulated in the NOAA Education Plan http://www.oesd.noaa.gov/NOAA--Ed--Plan.pdf. Funding is available to encourage the development of partnerships and to support existing, or foster growth of new, environmental literacy projects. This program has two funding priorities for FY05: (1) Partnerships that promote systemic change in NOAA-related science education, and (2) Innovative presentation of NOAA science and earth observing data through educational data visualizations and other educational tools. Within priority two, NOAA has committed to funding the installation of up to four ``Science on a Sphere'' (SOS) data systems at informal education venues. These ``Science on a Sphere'' installations will be funded by way of one- to three-year cooperative agreements. It is anticipated that final recommendations for funding under this announcement will be made in mid Calendar Year 2005, and that projects funded under this announcement will have a start date no earlier than September 30, 2005.", 05-6054,https://www.federalregister.gov/documents/2005/03/28/05-6054/environmental-literacy-grants,https://www.gpo.gov/fdsys/pkg/FR-2005-03-28/pdf/05-6054.pdf,03/28/2005
"International Industry Symposium at 3Rs Initiative Ministerial Conference (Reduce Waste, Reuse and Recycle); Notice of Opportunity for Participation",Notice,Commerce Department; International Trade Administration,"The Deputy Assistant Secretary for Manufacturing at the Department of Commerce will host an informational meeting on March 2, 2005 regarding the 3Rs International Industry Symposium to be hosted by the Government of Japan in Tokyo on April 28, 2005. The 3Rs Initiative (Reduce waste, Reuse and Recycle) was introduced by the Government of Japan and supported by the U.S. at the 2004 G8 summit in Sea Island, Georgia.", 05-3304,https://www.federalregister.gov/documents/2005/02/18/05-3304/international-industry-symposium-at-3rs-initiative-ministerial-conference-reduce-waste-reuse-and,https://www.gpo.gov/fdsys/pkg/FR-2005-02-18/pdf/05-3304.pdf,02/18/2005
"NOAA Climate and Global Change Program, Program Announcement",Notice,Commerce Department; National Oceanic and Atmospheric Administration,"The Climate and Global Change Program represents a National Oceanic and Atmospheric Administration (NOAA) contribution to evolving national and international programs designed to improve our ability to observe, understand, predict, and respond to changes in the global environment. This program builds on NOAA's mission requirements and long-standing capabilities in global change research and prediction. The NOAA Program is a key contributing element of the U.S. Global Change Research Program (USGCRP), which is coordinated by the interagency Committee on Environmental and Natural Resources. NOAA's program is designed to complement other agencies' contributions to that national effort. All proposals must be submitted in accordance with the requirements below. Failure to heed these guidelines will result in proposals being returned without review.", 03-10936,https://www.federalregister.gov/documents/2003/05/05/03-10936/noaa-climate-and-global-change-program-program-announcement,https://www.gpo.gov/fdsys/pkg/FR-2003-05-05/pdf/03-10936.pdf,05/05/2003
Coral Reef Conservation Grant Program Fiscal Year 2003 Funding Guidance,Notice,Commerce Department; National Oceanic and Atmospheric Administration; National Oceanic and Atmospheric Administration,"This document advises the public that the National Oceanic and Atmospheric Administration (NOAA) is soliciting proposals for the NOAA Coral Reef Conservation Grant Program (Program), pursuant to the Coral Reef Conservation Act of 2000 (Act). The Act authorizes the Secretary of Commerce (Secretary), through the NOAA Administrator (Administrator), and subject to the availability of funds, to provide matching grants of financial assistance for coral reef conservation projects under the Program. This document provides the specific Fiscal Year (FY) 2003 Funding Guidance (Guidance) necessary to award $5,590,000 in Federal assistance, of which NOAA is providing $5,240,000 and the Department of the Interior (DOI)is providing $350,000, consistent with the NOAA Coral Reef Conservation Grant Program Implementation Guidelines (Guidelines) published in the Federal Register on Friday, April 19, 2002. The Guidelines can be found at http://www.coralreef.noaa.gov/. The information published in this Guidance includes: specific program eligibility criteria, Funding Availability, proposal submittal and selection dates, and detailed application requirements and Application Evaluation criteria. All applications submitted pursuant to this notice must be consistent with the requirements stated herein, the Guidelines, and with ``A National Coral Reef Action Strategy'' (Strategy), completed in September 2002. The Strategy can also be found at: http://www.coralreef.noaa.gov/. Applicants may also request copies of the Strategy from the contacts listed below. Funding will be subject to the availability of federal appropriations.", 03-1153,https://www.federalregister.gov/documents/2003/01/17/03-1153/coral-reef-conservation-grant-program-fiscal-year-2003-funding-guidance,https://www.gpo.gov/fdsys/pkg/FR-2003-01-17/pdf/03-1153.pdf,01/17/2003
"Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Disseminated Information",Notice,Commerce Department; Office of the Secretary,"Section 515 of Public Law 106-554, the Treasury and General Government Appropriations Act for Fiscal Year 2001, directs the Office of Management and Budget (OMB) to issue government-wide guidelines that ``provide policy and procedural guidance to Federal agencies for ensuring and maximizing the quality, objectivity, utility, and integrity of information (including statistical information) disseminated by Federal agencies.'' The OMB guidelines require that agencies subject to the OMB guidelines must establish administrative mechanisms allowing affected persons to seek and obtain correction of information maintained and disseminated by the agency that does not comply with the OMB guidelines or the agency guidelines. The OMB final guidelines were published in the Federal Register on February 22, 2002. Those guidelines direct that, by October 1, 2002, agencies publish their information quality guidelines. The Department of Commerce published its draft guidelines for ensuring and maximizing the quality, objectivity, utility, and integrity of disseminated information on its Internet Web site on May 1, 2002 and in the Federal Register on May 3, 2002 (67 FR 22398). The Department of Commerce's response to the comments received is included in the SUPPLEMENTARY INFORMATION section of this document. This document implements section 515 for the Department of Commerce and defines the Department of Commerce's information quality guidelines. It may be revised periodically, based on experience, evolving requirements in the Department of Commerce, and concerns expressed by the public.", 02-25340,https://www.federalregister.gov/documents/2002/10/08/02-25340/guidelines-for-ensuring-and-maximizing-the-quality-objectivity-utility-and-integrity-of-disseminated,https://www.gpo.gov/fdsys/pkg/FR-2002-10-08/pdf/02-25340.pdf,10/08/2002
Emergency Clearance: Public Information Collection Requirements Submitted to the Office of Management and Budget (OMB),Notice,Health and Human Services Department; Office of the Secretary,"", 02-20292,https://www.federalregister.gov/documents/2002/08/12/02-20292/emergency-clearance-public-information-collection-requirements-submitted-to-the-office-of-management,https://www.gpo.gov/fdsys/pkg/FR-2002-08-12/pdf/02-20292.pdf,08/12/2002
"Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Disseminated Information",Notice,Commerce Department; Office of the Secretary,"Section 515 of Public Law 106-554, the Treasury and General Government Appropriations Act for Fiscal Year 2001, directs the Office of Management and Budget (OMB) to issue government-wide guidelines that ``provide policy and procedural guidance to Federal agencies for ensuring and maximizing the quality, objectivity, utility, and integrity of information (including statistical information) disseminated by Federal agencies.'' In addition, section 515 requires that agencies subject to the OMB guidelines must establish ``administrative mechanisms allowing affected persons to seek and obtain correction of information that does not comply with [the OMB guidelines].'' The OMB final guidelines were published in the Federal Register on February 22, 2002. Those guidelines direct that, by May 1, 2002, agencies publish for public comment their draft guidelines. As such, the Department of Commerce is requesting public comment on the following guidelines, information quality standards, and administrative correction mechanism. The draft guidelines contained in this document provide policy direction to the various operating units of the Department in issuing information quality standards applicable to information they disseminate. Further, this document includes draft Department-wide information quality standards to address information utility and integrity, as well as an information quality standard for information that is other than scientific, financial, or statistical.", 02-10991,https://www.federalregister.gov/documents/2002/05/03/02-10991/guidelines-for-ensuring-and-maximizing-the-quality-objectivity-utility-and-integrity-of-disseminated,https://www.gpo.gov/fdsys/pkg/FR-2002-05-03/pdf/02-10991.pdf,05/03/2002
Coral Reef Conservation Grant Program Implementation Guidelines,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"This document provides NOAA's Implementation Guidelines (Guidelines) for the Coral Reef Conservation Program (Program) under the Coral Reef Conservation Act of 2000 (Act). The Act authorizes the Secretary of Commerce (Secretary), through the NOAA Administrator (Administrator) and subject to the availability of funds, to provide matching grants of financial assistance for coral reef conservation projects under the Act (Coral Reef Conservation Program). As per the Act, NOAA has developed these Implementation Guidelines for the Program for Fiscal Year (FY) 2002 through FY 2004. Proposed Implementation Guidelines were published in the Federal Register for review and comment on December 10, 2001. NOAA will use several existing grant programs and mechanisms to implement the Program. Specific Program information including available funding, dates, and detailed application requirements and proposal evaluation criteria for FY 2002 are published concurrently with these Guidelines in a separate Federal Register Notice of Availability of financial assistance for coral reef conservation activities. NOAA is in the final stages of completing the National Coral Reef Action Strategy (Strategy), in consultation with the United States Coral Reef Task Force (USCRTF), as required under the Act. The purpose of the Strategy is to provide an implementation plan to advance coral reef conservation, including basis for funding allocations to be made under the Program. Upon final completion of the Strategy, NOAA will publish notice of the Availability of the Strategy in the Federal Register and at: www.coralreef.noaa.gov/. The Department of Commerce Pre-Award Notification Requirements for Grants and Cooperative Agreements contained in the Federal Register notice of October 1, 2001, will be applicable to the funding guidance under this Program. This document is not a solicitation for FY 2002 project proposals.", 02-9682,https://www.federalregister.gov/documents/2002/04/19/02-9682/coral-reef-conservation-grant-program-implementation-guidelines,https://www.gpo.gov/fdsys/pkg/FR-2002-04-19/pdf/02-9682.pdf,04/19/2002
Coral Reef Conservation Program Proposed Implementation Guidelines,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"The purpose of this document is to request comments on NOAA's proposed Implementation Guidelines (Guidelines) for the Coral Reef Conservation Program (Program) under the Coral Reef Conservation Act of 2000 (Act). The Act authorizes the Secretary of Commerce (Secretary), through the NOAA Administrator (Administrator) and subject to the availability of funds, to provide matching grants of financial assistance for coral reef conservation projects under the Act (Coral Reef Conservation Program). As per the Act, NOAA has developed this set of proposed Implementation Guidelines for the Program for Fiscal Year (FY) 2002 through FY 2004. NOAA proposes to use several existing grant programs and mechanisms to implement the Program. Final Guidelines and specific Program information including available funding, dates, and detailed application requirements and proposal evaluation criteria will be published annually in a separate Federal Register solicitation. NOAA is in the process of developing a National Coral Reef Action Strategy (Strategy), as also required under the Act. The purpose of the Strategy is to provide an implementation plan to advance coral reef conservation, including a basis for funding allocations to be made under the Program. The Final Strategy will be published concurrently with the Final Program Guidelines and the FY 2002 Program Solicitation in the first quarter of calendar year 2002. The Department of Commerce Pre-Award Notification Requirements for Grants and Cooperative Agreements contained in the Federal Register notice of October 1, 2001 (66 FR 49917), will be applicable to solicitations under this Program. This document is not a solicitation for FY 2002 project proposals.", 01-30383,https://www.federalregister.gov/documents/2001/12/10/01-30383/coral-reef-conservation-program-proposed-implementation-guidelines,https://www.gpo.gov/fdsys/pkg/FR-2001-12-10/pdf/01-30383.pdf,12/10/2001
"Economic Development Assistance Programs_Availability of Funds Under the Public Works and Economic Development Act of 1965, as Amended and the Trade Act of 1974, as Amended",Notice,Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces the availability of funding, general policies and application procedures for projects that will alleviate conditions of substantial and persistent unemployment and underemployment and low per capita income in economically-distressed areas and regions of the Nation. Funding is also available to help communities adjust to actual or threatened sudden and severe economic dislocations, including major layoffs and plant closings, realignment of defense and energy facilities, natural disasters, trade impacts, and other forms of severe economic distress.", 01-6247,https://www.federalregister.gov/documents/2001/03/14/01-6247/economic-development-assistance-programsavailability-of-funds-under-the-public-works-and-economic,https://www.gpo.gov/fdsys/pkg/FR-2001-03-14/pdf/01-6247.pdf,03/14/2001
Announcement of I-69 Status,Notice,Transportation Department; Federal Highway Administration,"The purpose of this announcement is to provide information on the status of Interstate 69, a transcontinental highway corridor designated by the U.S. Congress to extend from the U.S./Canadian border to the U.S./Mexican border. The public is invited to participate in FHWA NEPA process, and to contact the States through which the corridor runs for specific project information.", 00-31145,https://www.federalregister.gov/documents/2000/12/08/00-31145/announcement-of-i-69-status,https://www.gpo.gov/fdsys/pkg/FR-2000-12-08/pdf/00-31145.pdf,12/08/2000
Putting Customers First in the Title XI Program,Rule,Transportation Department; Maritime Administration,"The Maritime Administration (MARAD) is issuing this final rule which amends certain provisions of the existing regulations implementing Title XI of the Merchant Marine Act, 1936, as amended (``Act''). This rule amends existing regulations by simplifying existing administrative practices governing the following areas: the ship financing guarantee process; and standards for evaluation and approval of applications. These changes will make the entire process easier for applicants.", 00-17496,https://www.federalregister.gov/documents/2000/07/20/00-17496/putting-customers-first-in-the-title-xi-program,https://www.gpo.gov/fdsys/pkg/FR-2000-07-20/pdf/00-17496.pdf,07/20/2000
Revision of HHS National Environmental Policy Act Compliance Procedures and Procedures for Environmental Protection,Notice,Health and Human Services Department,"In accordance with the provisions of the National Environmental Policy Act of 1969 (NEPA), as amended, and other related environmental laws, executive orders, and regulations, the Department of Health and Human Services published procedures in 1980 for conducting environmental reviews, preparing necessary documentation and making program decisions to ensure that environmental protection is an integral part of HHS operations. These procedures have been revised and updated. The revised procedures were published in the January 11, 1999, Federal Register for comment. Changes recommended by EPA and the Council on Environmental Quality have been included in the final document.", 00-3631,https://www.federalregister.gov/documents/2000/02/25/00-3631/revision-of-hhs-national-environmental-policy-act-compliance-procedures-and-procedures-for,https://www.gpo.gov/fdsys/pkg/FR-2000-02-25/pdf/00-3631.pdf,02/25/2000
"Economic Development Assistance Programs-Availability of Funds Under the Public Works and Economic Development Act of 1965, as Amended, and Trade Act of 1974, as Amended",Notice,Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces its policies and application procedures under the Public Works and Economic Development Act of 1965, as amended (PWEDA) for fiscal year 2000 to support projects designed to alleviate conditions of substantial and persistent unemployment and underemployment in economically-distressed areas and regions of the Nation, and to address economic dislocations resulting from sudden and severe job losses.", 00-1627,https://www.federalregister.gov/documents/2000/01/24/00-1627/economic-development-assistance-programs-availability-of-funds-under-the-public-works-and-economic,https://www.gpo.gov/fdsys/pkg/FR-2000-01-24/pdf/00-1627.pdf,01/24/2000
Transportation Equity Act for the 21st Century (TEA-21); Implementation for the Transportation and Community and System Preservation Pilot Program,Notice,Transportation Department; Federal Highway Administration,"This document provides guidance on section 1221 of the Transportation Equity Act for the 21st Century (TEA-21), which established the Transportation and Community and System Preservation Pilot Program. The TCSP provides funding for grants and research to investigate and address the relationship between transportation and community and system preservation. The States, local governments, metropolitan planning organizations (MPOs), and other local and regional public agencies are eligible for discretionary grants to plan and implement transportation strategies which improve the efficiency of the transportation system, reduce environmental impacts of transportation, reduce the need for costly future public infrastructure investments, ensure efficient access to jobs, services and centers of trade, and examine development patterns and identify strategies to encourage private sector development patterns which achieve these goals. FY 2000 is the second year of the TCSP pilot program. Through the TCSP, the States, local governments, MPOs, and other public agencies will develop, implement and evaluate current preservation practices and activities that support these practices, as well as develop new, innovative approaches to meet the purposes of the TCSP grant program (see section II in preamble). Funding for the TCSP was authorized at $25 million per year for FY's 2000 through 2003 by TEA-21. The Administration's FY 2000 budget proposes to increase the funding for TCSP to $50 million as part of the President's Livability Initiative. The FHWA seeks requests for FY 2000 TCSP grants, proposals for FY 2000 TCSP research, and public comments from all interested parties regarding implementation of the TCSP program and research related to the program in FY 2001 and beyond.", 99-11586,https://www.federalregister.gov/documents/1999/05/10/99-11586/transportation-equity-act-for-the-21st-century-tea-21-implementation-for-the-transportation-and,https://www.gpo.gov/fdsys/pkg/FR-1999-05-10/pdf/99-11586.pdf,05/10/1999
Economic Development Assistance ProgramsAvailability of Funds Under Pub. L. 105-393,Notice,Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces its policies and application procedures under the Economic Development Administration Reform Act from the effective date, (see below) through the end of fiscal year 1999 to support projects designed to alleviate conditions of substantial and persistent unemployment and underemployment in economically-distressed areas and regions of the Nation, to address economic dislocations resulting from sudden and severe job losses, and to administer the Agency's programs.", 99-4493,https://www.federalregister.gov/documents/1999/02/24/99-4493/economic-development-assistance-programsavailability-of-funds-under-pub-l-105-393,https://www.gpo.gov/fdsys/pkg/FR-1999-02-24/pdf/99-4493.pdf,02/24/1999
Revision of HHS National Environmental Policy Act Compliance Procedures and Procedures for Environmental Protection,Notice,Revision of HHS National Environmental Policy Act Compliance Procedures; Health and Human Services Department,"In accordance with the provisions of the National Environmental Policy Act of 1969 (NEPA), as amended, and other related environmental laws, executive orders, and regulations, the Department of Health and Human Services published procedures in 1980 for conducting environmental reviews, preparing necessary documentation and making program decisions to ensure that environmental protection is an integral part of HHS operations. These procedures have recently been revised and updated. Comments from interested parties are solicited.", 99-9,https://www.federalregister.gov/documents/1999/01/11/99-9/revision-of-hhs-national-environmental-policy-act-compliance-procedures-and-procedures-for,https://www.gpo.gov/fdsys/pkg/FR-1999-01-11/pdf/99-9.pdf,01/11/1999
Joint Partnership Program for Deployment of Innovation,Notice,Transportation Department; Federal Transit Administration,"This Notice announces establishment of a new public/private Joint Partnership Program for Deployment of Innovation (JPP) in the mass transportation industry, describes the statutory bases of the JPP, requests comments on the proposed approach, and solicits initial proposals for JPP consideration. Section 3015 of the Transportation Equity Act for the 21st Century (TEA-21), signed into law by President Clinton on June 9, 1998, creates a new Section 5312(d) in Title 49, United States Code, which authorizes the Secretary of Transportation to enter into grants, contracts, cooperative agreements, and other agreements, with competitively selected consortia to promote the early deployment of innovation in mass transportation services, management, operational practices, or technology that has broad applicability. Under the JPP, competitively selected consortia will share costs, risks, and rewards of early deployment of innovation in the transit environment.", 98-26614,https://www.federalregister.gov/documents/1998/10/02/98-26614/joint-partnership-program-for-deployment-of-innovation,https://www.gpo.gov/fdsys/pkg/FR-1998-10-02/pdf/98-26614.pdf,10/02/1998
